fonte_dados,categoria_macro,genero,cor,idade,faixa_etaria,municipio,bairro,sexo,cutis
homicidios,violencia_social,1 MASCULINO,PARDA,14.0,0_14,SOORETAMA,SAYONARA,,
homicidios,violencia_social,1 MASCULINO,BRANCA,19.0,18_24,CARIACICA,JARDIM BOTANICO,,
homicidios,violencia_social,1 MASCULINO,PARDA,36.0,35_44,SAO MATEUS,CORREGO DA AREIA,,
homicidios,violencia_social,1 MASCULINO,PARDA,43.0,35_44,NOVA VENECIA,PERDIDO,,
homicidios,violencia_social,1 MASCULINO,NEGRA,38.0,35_44,VIANA,CABRAL,,
homicidios,violencia_social,1 MASCULINO,PARDA,46.0,45_54,IRUPI,SANTA CRUZ,,
homicidios,violencia_social,1 MASCULINO,BRANCA,21.0,18_24,CARIACICA,FLEXAL II,,
homicidios,violencia_social,1 MASCULINO,PARDA,24.0,18_24,MONTANHA,SAO SEBASTIAO DO NORTE,,
homicidios,violencia_social,1 MASCULINO,PARDA,21.0,18_24,CARIACICA,CASTELO BRANCO,,
homicidios,violencia_social,1 MASCULINO,PARDA,29.0,25_34,CARIACICA,CASTELO BRANCO,,
homicidios,violencia_social,1 MASCULINO,BRANCA,30.0,25_34,CARIACICA,CAMPO GRANDE,,
homicidios,violencia_social,1 MASCULINO,PARDA,46.0,45_54,CACHOEIRO DE ITAPEMIRIM,VILAGE DA LUZ,,
homicidios,violencia_social,1 MASCULINO,PARDA,36.0,35_44,VILA VELHA,COBI DE CIMA,,
homicidios,violencia_social,1 MASCULINO,BRANCA,65.0,65_PLUS,CARIACICA,VILA CAPIXABA,,
homicidios,violencia_social,2 FEMININO,PARDA,28.0,25_34,MIMOSO DO SUL,PONTE DE ITABAPOANA,,
homicidios,violencia_social,1 MASCULINO,PARDA,23.0,18_24,ITAPEMIRIM,ITAOCA,,
homicidios,violencia_social,1 MASCULINO,PARDA,26.0,25_34,CONCEICAO DA BARRA,BRACO DO RIO,,
homicidios,violencia_social,1 MASCULINO,NEGRA,25.0,25_34,SERRA,SERRA CENTRO,,
homicidios,violencia_social,1 MASCULINO,PARDA,21.0,18_24,VILA VELHA,VILA GARRIDO,,
homicidios,violencia_social,2 FEMININO,PARDA,66.0,65_PLUS,VILA VELHA,VALE ENCANTADO,,
homicidios,violencia_social,1 MASCULINO,NEGRA,45.0,45_54,CARIACICA,CASTELO BRANCO,,
homicidios,violencia_social,1 MASCULINO,NEGRA,53.0,45_54,CARIACICA,JARDIM AMERICA,,
homicidios,violencia_social,1 MASCULINO,PARDA,20.0,18_24,SERRA,JARDIM DA SERRA,,
homicidios,violencia_social,2 FEMININO,PARDA,21.0,18_24,SOORETAMA,SAYONARA,,
homicidios,violencia_social,1 MASCULINO,PARDA,30.0,25_34,BOA ESPERANCA,VILA TAVARES,,
homicidios,violencia_social,1 MASCULINO,PARDA,27.0,25_34,LINHARES,BREJO GRANDE,,
homicidios,violencia_social,1 MASCULINO,PARDA,30.0,25_34,CONCEICAO DA BARRA,BRACO DO RIO,,
homicidios,violencia_social,1 MASCULINO,BRANCA,49.0,45_54,IUNA,QUILOMBO,,
homicidios,violencia_social,1 MASCULINO,NEGRA,36.0,35_44,SERRA,FEU ROSA,,
homicidios,violencia_social,1 MASCULINO,PARDA,35.0,35_44,GUARAPARI,SAO GABRIEL,,
homicidios,violencia_social,1 MASCULINO,PARDA,39.0,35_44,PINHEIROS,SAO JOAO DO SOBRADO,,
homicidios,violencia_social,1 MASCULINO,PARDA,23.0,18_24,SERRA,JARDIM BELA VISTA,,
